,Reviews
5330,use hold camcorder attempts vlog versatile attach phone camera camcorder want unscrew phone attachment screw onto larger tripod 😁
5331,works great multi device tripod selfie stick camera stand light easy carry wraps around items picture taking flat surfaces legs bendable use uneven surfaces works cell phone gopro large camera
5332,fully experienced yet due lockdown came delivered fine much sturdier tripod last year extremely flexible comes phone clamp
5333,like flexibility different camera angles
5334,wish legs easily put position never way good product
5335,good buy second holds outdoor cams secure beautifully designed crafted thanks
5336,super easy use camera phone like small light enough carry around highly recommend
5337,received mini tripod really enjoyed adapter cell phone well works dslrs mirror less cams attach limbs trees hand railings use regular tripod elevated surfaces use imagination go take pictures love product bought youtube recommendation
5338,camera mount cheap plastic wide enough hold phone case designers continue make ridiculous narrow camera holder’s cannot hold iphone case around people cases phones yet keep making camera mounts one uses case sturdy protective case unusual shape angles flimsy camera mount skinny rubber grips completely incapable holding tripod
5339,loving thus far purchased two one fir grandson
5340,opened tripod pice plastic fallen broken spected remote also doesn’t product quality really nice flexible light holder phone awesome ever i’m disappointed bout moment opened brokenif beggening cameras photos think small size medium really big small one perfect option portable go everywhere
5341,great product
5342,bad product works described fits little zonko action camera well iphone phone case little tight mount overall wiggle going wrap around stuff works great bad selfie stick pinch either
5343,love tripod works good enough though i’ve months it’s really good even water ocean plus work good heat humanity
5344,took vacation perfect size traveling fit purse flexibility tripod allowed take photos videos almost angle durable made quality material also comes phone clip convenient love
5345,says well
5346,easy set use additional bracket phone camera bonus got great pictures northern lights rolling ship
5347,mounted nikon d5600 wordks great would use outdoor windy conditions though think excellent phone accesory dsrl caution latter
5348,love design capabilities fotopro tripod going companion working hours even though taking videos photos continue misplace phone worry see phone far away get lost anymore love device
5349,bought daughter photography loved versatile taken anywhere wrapped around anything also used tripod stand perfect gift
5350,perfect blogging selfies etc i’ve used sooo many different things bendy legs like octopus legs hang anything need tripod works great also folds fits bag well
5351,love product still using light grip good material used good
5352,like build 3d puzzles record finished product smartphone tripod allows free hands show model build it’s perfect light easy use portable
5353,like sturdiness item fact place record youtube videos perfect spot without falling use record youtube videos
5354,good
5355,bends easy rubber grip legs nice phone holder attachment plus well
5356,loved use almost anything tripod flexible shape angles need comes recording videos
5357,versatility
5358,im using product hold camera record youtube video tripod one best
5359,exactly needed much better old one easy use heavy love would totally recommend
5360,tried using remote yet stand working g great wish better swivel feature head think expensive version
5361,decent tripod nothing special
5362,really love tripod love legs adjustable easy great quality product use time
5363,oh gosh must best i’ve spent camera equipment love small bring anywhere go love handles grip mount surface simply love using almost everyday
5364,versatile features enable attain stable platform almost situation strong secure grip almost surface still works well standard tripod bit heavy side
5365,works great exactly described months took europe used gopro canon m50 worked great highly recommend
5366,perfect size lightweight use rear camera cell phone works wonders definitely comes handy get one disappointed
5367,great unique situations like wrapping legs around post ladder
5368,love tested last week phone easy use wait try new camera comes would definitely recommend youtuber vlogger influencer
5369,little week see expect another similar tripod couple years chose get one little less bulky
5370,u absolutely love tripod omg looking perfect one hold new canon eos m100 beyond expectations happy purchase 😊☺️✨
5371,purchased grandson college loved
5372,grandson uses tube
5373,media could loaded leg broke base really sad thing awesome
5374,easy use
5375,steady strong tripod work prefect everything phone action camara canon m50
5376,excellent tripod light weight stable tried couple times think little tripod last long time iphone plus heavy duty case fit tripod without problem
5377,functional tripod bought secondary tripod last trip barely use main tripod easy quick adjust could place uneven surfaces holding canon 80d lens quite well
5378,great product
5379,easy use small camera
5380,light weight durable really worth like different ones none compare good one turned
5381,old sony a7 work great love legs instead bumpy legs similar tripods super sturdy wrap arounds however tried twisting legs together like pic ended breaking piece
5382,tripod wonderful sturdy made quality products works vlogging
5383,pretty light compact versatile little tripod works well feels stable wrapped around objects make stand used smart phone dslr camera
5384,nice mine never came phone mount dona whole lot stuff phone would nice came
5385,sturdy holds even heaviest cameras bend whatever shape need take beating
5386,super flexible sturdy love black red color design attaches nearly anywhere
5387,got able wrap around cruise railings capture footage got back cruise loved using filming cruise worked really really well
5388,finally able hang camera shower pointing rest room longer get pranked
5389,looking
5390,i’m used months happy wrap around anything fit holds well time tell long lasts overly pleased far
5391,fantastic product note others want put heavy camera lens nikon d750 nikkor 35f4 take
5392,tripod functional well versatile
5393,compact feels sturdy easy use good grip used questionable terrain managed stay put
5394,nice grip phone used standing table hanging shelf hand worked well cases also standard camera mount
5395,time i’m shooting take folding tripod ever since bought i’ve leaving larger tripods home shoot canon 77d it’s plenty support
5396,you’d think i’d dropped didn’t even propped something hard took amazon bag gymnastic mats proceeded move legs j position order shoot form stretch plastic piece leg joint immediately snapped piece crap didn’t even try make legs go u j shape thing snapped right joint sure still works certainly don’t trust tripod hold together long pieces break right box otherwise seems versatile enough legs flexible
5397,loved first much ordered second one added joby ball head ufo legs perfect mini tripod smaller cameras
5398,expect last heavy use especially careful legs legs may survive base plastic definitely break quickly would still recommend price however would caution roughing
5399,item received promptly worked needed thank
5400,boy glad didnt use fortune gorillapod thing awesome sturdier anything much expensive love plan getting models series
5401,really strong wait use camera
5402,works great iphone nice firm
5403,bought mirrorless camera travel something small could pack bag meant replace big tripods versatile legs bend grip wrapped around pole incline something high low problem serious mirrorless camera shakes even remote shutter see small shake tightened much date it’s mostly plastic don’t plan use anything larger phone flexibility design unfortunately equals flexibility mount shaky pics
5404,get job done exactly
5405,use make vlogs it’s lightweight easy setup love
5406,love tripod much bought two super cool extension phone use mine sony a6300 keeps steady supported
5407,best handheld tripod i’ve far works like charm legs bend sit angle you’d like also stable g7x mark
5408,nice flexible tripod bought use vacation fit carry nicely worked well different locations longer exposures wrapped around objects held well
5409,great purchase gopro put anything limb ledge twist camera whichever way need stays put solidly built
5410,love everything price excellent
5411,purchased tripod based recommendation take videos using iphone far great perfect needed
5412,quality seems great didn’t come attachments pictured hold phone vertically customer service didn’t respond
5413,tripod worked great needed however one legs broke internally short time rendering useless great design sturdy repeated use
5414,cool device grips better gorrilapod nice light build quality nice it’s plastic feels like sturdy quality plastics recommend
5415,perfect vlogging needed wish compact that’s okay
5416,versatile flexible sturdy durable great product
5417,would better clamp extends
5418,like grip easy use great extended handling videos
5419,awesome camera mount exceeds expectations use hold fx radar chronograph works flawlessly
5420,easy used small portable perfect canon m50
5421,use canon 5d markiii even larger zoom lenses able hold load great price especially
5422,tripod awesome comfortable gorilla pod perfect size backpack side pocket great performance happy good
5423,one good one degree swivel neck much much better get one much happier
5424,hold phone projector perfectly
5425,functional described would recommend
5426,love needed would shop vendor
5427,seems strong holds nikon d3400 problems tripod holds shape well legs click place feels stable
5428,best
5429,first like oh thing work proven wrong happy purchase
5430,feels cheap something bound break trust high value camera perfect point shoot camera
5431,love
5432,love product use almost daily vlogging it’s able attached chairs carts held hand stand
5433,great product needed
5434,good quality holds camera anywhere wish bit bigger still amazing
5435,love using tripod
5436,fits lumix fz300 perfectly i’m loving tripod also feels safe camera
5437,like selfie stick tripod use fits phone
5438,love gopro hero much sturdy options style definitely recommend
5439,works well hardy take abuse replace different make broke one solidly made
5440,buen material muy funcional
5441,grandson loved
5442,sturdy actually holds camera attached lens
5443,better expected great buy price
5444,changed vlogging game man love amazing attachment phone well
5445,easily adjustable mount anywhere solid bending legs better pop beads type tripod comes small efficient smartphone clamp like lot
5446,gave gift lil bro loved
5447,good small cameras like go pro good dslr camera heavy
5448,received tested today family camping weekend good product guys high quality stuff
5449,perfect situation holds dslr canon 60d clip holds bloggie touch phone great value
5450,exactly looking works perfect iphone large dslr legs super moldable sturdy love
5451,love product flexible sturdy used dslr iphone camera love love love
5452,love use work outs work need make videos
5453,love soo much using iphone dslr canon camera
5454,love works great even heavier camera
5455,great tripod flexible grips things well
5456,ok begin like tripod flexible easy set although disappointed swivel top put phone anyway phone connector snapped little pressure use looked since plastic top cheap recommend
5457,experience thus far using efficient tool heck previously get without
5458,great bloggers youtube life dionne
5459,works advertised
5460,strong like
5461,works great
5462,versatile lightweight perfect planned usage
5463,love handheld tripod glad bought
5464,i’m loving tripod it’s really easy use use record workouts it’s versatile
5465,amazing works great stabilizer works camera apps take low light photos
5466,tripod strong easy use fits camera cell phone
5467,bought thing little month ago cheap trying buy gorillapod price using camera mind cameras heavy one legs ended breaking today shooting mostly kept gear bag wasn’t abusing anything feel like would’ve lasted longer used specifically phone possibly
5468,flexible grippy holds position
5469,love
5470,speedy delivery looks exactly advertized cannot wait start vlogging
5471,absolutely perfect canon sl2 probably best budget tripp’s i’ve ever
5472,amazing video pictures quality
5473,súper bien
5474,tripod everything pass pure quality love
5475,exactly described perfect sony a5000
5476,unfortunately item broke within week day wanted son make home videos old phone phone attachment easily cracked youngest hit something
5477,loved tripod it’s sturdy
5478,use every day perfect little tripod vlogging cameras phones
5479,use vlog it’s perfect
5480,granddaughter loves
5481,way bends grips exactly need great iphones video gopro
5482,bought son loves using take video outdoors
5483,works like thought would perfect cell phone video great product price
5484,really love tripod flexible legs awesome great value money
5485,best tripod ever sturdy comfortable grip
5486,exactly tri pod flexible legs
5487,amazing product
5488,far good comes phone mount well i’ll update anything changes
5489,cute sturdy
5490,used trip tokyo smarthest gadget could’ve taken
5491,used m50 camera pretty light weight camera little weeks one leg already broke overall loved light weight easy carry around
5492,tripod good grip however holding mount phone terrible lasted couple hours broke
5493,finally found great tripod works well use travel
5494,love fits camera made good quality
5495,used brand new 30min i’m already satisfied price point definitely help tool amateur progressing film picture taking stuff update 3months update i’m actually disappointed fast tripod broke weeks noticed significant weak joint move device forward backwards become practically useless🙁
5496,found pretty useful tool broke leg yes joby gorillapods eventually loosen one snapped entirely
5497,works pretty much flexible tripod problems complaints considering price
5498,wish bit longer great tool
5499,don’t problems like lot
5500,works great sturdy
5501,easy use durable
5502,love get hard get shots
5503,real issues works well
5504,light weight flexible durable plastic great iphones
5505,love
5506,💜
5507,it’s cost effective works ask
5508,works well complaints
5509,simple convenient easy use store
5510,muy bueno
5511,love great beginners
5512,job
5513,become must item backpack
5514,good quality
5515,worked great recent trip good product
5516,love
5517,little tripod amazing first used take photos pole fitness business wrap around pole easily however months later legs hanging limp despite nothing detrimental ever happening entire device useless support leg tried fix cannot without ruining device entirely read warranty contacting company amazon lead nowhere far get reply
5518,media could loaded excited holder disappointed see strange toxic looking powder comes rubber everytime touch see video even tried cleaning thoroughly wet wipe dried residue appeared disturbing quality control issue going china product
5519,flexible convenient
5520,professional well made strong versatile
5521,like handle size tripod sony a6000 camera
5522,holds canon 80d perfectly
5523,good design ok quality
5524,promises
5525,exactly wanted
5526,love ufo basic nice durable love
5527,perfect item durable right size
5528,excellent
5529,really solid product job perfectly
5530,bought item use specifically family vacation one legs snapped day making longer bendable essentially rendering device useless may bent total times take various pictures requiring use tripod prior breaking obviously quality device leaves lot desired also take pictures would consider great value money look elsewhere
5531,bought thought inches length advertised product description inches length best add attachment piece top add another inch see pics
5532,feels durable
5533,excellent quality tripod full recommended
5534,alike lot
5535,small convenient
5536,flexible performs need
5537,great cell phone big camera
5538,works expected good addition gear bag
5539,good stuff
5540,love product
5541,recommend definitely
5542,versatile product
5543,better expected
5544,absolutely amazing
5545,happy product today one legs broke camera almost went cascading waterfall happy customer
5546,works advertised durable
5547,nice
5548,great vlog camera holder
5549,great product
5550,happy product
5551,awesome sturdy well made cute
5552,love
5553,excelente
5554,really like tripod
5555,exactly described
5556,perfect
5557,never leave reviews wild got used broken item clearly opened box quality control looks like kid put together
5558,useful met expectations
5559,really like
5560,purchased item pictured amazon clips phone bottom however image attached shows sent item clips phone tripod expensive others come remote match sold
5561,wow
5562,good
5563,must say product sturdy handle want needed attachment shown picture good good would show product shown dahhhhh happy
5564,used product couple dozen times course last months one legs broke today making non functional tripod pretty good lasted broke way soon logical reason
5565,received item pulled box bag piece tripod already broken never used get return travel much writing review late return best quality
5566,tripod days one bendy legs broke meant flexible bending many times snapped days later ordering another tripod
5567,product crap flimsy legs lock place causing tripod feature defeat purpose 1st time delivered product package empty stay away
5568,piece junk collar joins legs broke second time used
5569,stiff
5570,standing feel broke like wtf don’t buy please
5571,used months two legs broken
5572,product received terribly damaged
5573,break easy
5574,easy use reliable
5575,versatility sturdiness easy use
5576,great design quality materials great price size
5577,using gopro hero best versatile tripod works every setting hanging tree branches rail boat holds pretty well
5578,son bought says way better gorilla pod legs pop joints phone holder really nice definitely likes
5579,great little tripod versatile use iphone also hold led lights video conferencing like recommended others
5580,works great attachment included phone work great camcorder
5581,received product fast perfect shape great little tripod created first youtube video tripod fits smartphone camera looking
5582,decent quality price use phones seen well works full sized heavy camera like fits phones bit larger cases google pixel samsung galaxy edge clamp phone springloaded manually adjusted make sure phone securely clamped prop tripod loosened use strongly clamped use home anyways clamp screwed two ways shown picture rubber grips fleible grab odd hanging positions quite well
5583,literally best camera tripod ever bought recently bought gopro hero let tell tripod works perfectly vlogging it’s flexible mount practically anywhere it’s durable water proof product amazing ⭐️⭐️⭐️⭐️⭐️
5584,absolutely love tripod one years ago dog chewed one much better made able get great photos flexability tripod would recommend anyone
5585,excited broke weeks indoor use
5586,bought hold small speaker uses leg broke kept using let’s still function gripping around something uses 2nd leg broke longer usable cheaply made joint plastic construction i’m sure it’s fine want small tripod plan bending legs around things hold camera speaker good unit
5587,love little tripod used several times primarily long exposure photography easy manipulate bendy legs reliably steady used mirrorless wide angle lens shooting recommend short shutter delay avoid shake favorite feature light weight construction attach camera swing strap behind right arm set slight extra weight unnoticeable leave even shooting hand held easily slip one leg pocket strap small bag ease always verify weight limitations buying tripod sure choose one specs exceeding weight camera heaviest lens combination recommend product mirrorless cameras cell phones
5588,im small youtuber looking something carry camera around vlog product working great feel last long time love
5589,
5590,sturdy comes holder attachment phone
5591,handy versatile tripod order gift want family friends
5592,media could loaded there’s great grip sturdiness makes easy hold control everything without worrying it’s super easy bend move legs around product high quality price instead buying jobi i’d recommend
5593,like taking shot phone want part set shot trip timer get front camera quite stable easy use
5594,pickey comes camera gear thing perfect phone gopro sony a6000 feels like cable perfect blend weight sturdyness use also film kids skatepark great piece equipment
5595,like tripod versatility use often
5596,great vlogging really sturdy bend anyway want
5597,pleased quality top hinge legs snaps legs bendable feels like beefy construction wear time soon also worried using outside getting material scratched dirty since delicate good value money
5598,bought gift nephew videographer rather rough abusive equipment lasted years nephew approved
5599,perfect tripod
5600,love using hold camera videos set tripod
5601,works anything trying film
5602,flexible small sturdy good travel
5603,amazing canon m50 buy wont regret
5604,highly recommend
5605,works advertised lightweight great trails
5606,second one used hell one
5607,must vlogs
5608,sturdy versatile use sony camera phones
5609,works really great surprised see well could hold dslr camera works well tripod handheld satisfied purchase
5610,purchased item vlogging it’s easy use love versatility sturdiness can’t wait start vlogs
5611,noticed right away last year’s model bought pinch taller said design much reliable sturdy joby legs legs bent million times retain dexterity whereas joby units’ integrity entirely dependent plastic ball joints ordered 2nd one phone leave gopro old one
5612,got son goes snowboarding loves
5613,tripod amazing lightweight stable legs strong
5614,got help videos pictures love place anywhere stay
5615,daughter loves use youtube channel🤩
5616,perfect
5617,literally put tripod anywhere
5618,worth recommending
5619,works good mini projector sturdy molded hook anything also c clamp mount cellphones awesome
5620,es muy estable
5621,best tripod one always carry principle think may best travel tripods full height means weight close nothing fit bag also grab rail branches poles find vicinity fotopro holds mirrorless em1 zoom lens problem get better tripod head versatile travel tripod good long exposure selfies travel
5622,love product versatile perfect adjusting getting level platform phone hike fish lot always hard find level spot ground product completely solved issue also great grasp onto things like railings tree branches finding right angle lot easier great product
5623,nice sturdy lightweight flexible legs long enough give good support larger heavier smartphones love tripod phone adapator bit flimsy side plastic knurled knob stripped right away upgraded phone adaptor one swiveled happy
5624,strong powerful able carry large camera helps travel photos
5625,thing great bought bath cause waterproof wraps around handle soap holder well keeps looking mobile instead
5626,tripod perfect strong easy use wife uses blogging loves
5627,cumple con lo prometido la calidad es aceptable para el precio incluso ligeramente superior lo esperado tengo una cámara sony alpha una canon rebel el tripie las soporta perfectamente su peso es mínimo eso es una ventaja para llevarlo de viaje el adaptador para colocar el celular es de lo mejor cumple su cometido sin embargo la parte de plástico que está en contacto con la pantalla tiene protección material suave por lo tanto hay que tener cuidado
5628,use looses stability nice gopro osmo action good camera
5629,works advertised small problem case ticket side otter box might held solidly phone holder would want workaround take case simply live
5630,totally solid flexible strong use anker mini projector pretty heavy issues
5631,tripod great quality parts great cell phone holder adjusted portrait landscape super easily it’s easy maneuver legs want attach bend easily without much effort tripod take every
5632,ha sido muy útil tenemos más de un año usándolo para los tiempos de pandemia cuarentena ha sido muy útil para hacer videollamdas desde el celular para fotos en el exterior es muy práctico por su versatilidad ligereza lo llevamos todos lados lo hemos probado con el celular aunque nos encanta la manera en que se sujeta porque hace presión sobre la pantalla del teléfono le damos un para la go pro es perfecta hemos probado con cámara pesada de lentes aún
5633,bought needed selfie stick went flexibility hold camera place awkward surfaces shooting holds canon rebel t3i fairly well tripod perfect cell phones light durable
5634,la calidad del trípode es bastante buena gustó la textura de los materiales la resistencia que tiene al soportar mi sony a6300 lo super recomiendo
5635,es muy flexible se adapta cualquier superficie además de ser ligero cuando grabo caminando se nota el movimiento con este tripie los brincos desaparecen gustó demasiado
5636,purchased tripod taking timed photos sony nex streaming video twitch also handy bracket holding smartphone legs sturdy hold position really well happy product
5637,buen producto fácil de instalar aunque un poco débil en el soporte de celular podría ser un poco más fuerte aunque sirve prefecto esta más bajo de lo que pensé
5638,recent trip great something could easily attach post rocky uneven surface even hold outside car driving
5639,excelente lo tengo por meses ya muy buenono se frágil ni parece que se romperá fácilse enrolla fácilmente en cualquier superficie árbol poste etc
5640,works pretty good steady something solid legs attention needs yo paid using
5641,en la descripción del producto incluye un adaptador para go pro además un adaptador para tomas verticales sin embargo venían en la caja se como pueda proceder una aclaración
5642,used product advertised held test samsung s9 far multiple circumstances positions tried camera primarily smart phone
5643,exactly looking seems well made hoping would basically hold camera securely place almost anywhere want angle want it’s perfect
5644,excelente calidad muy resistente le agregaría el adaptador para gopro lo compré en oferta muy buen precio por la calidad
5645,es muy buena idea para cuando sales de acampada excursiones el le pongo más puntos por la calidad del cabezal que es algo fragíl
5646,nice sturdy tight legs stay put good purchase
5647,little flimsy places overall excellent bendy legs superb
5648,it’s nice tripod legs really soft flexible however side phone held horizontally there’s way standing vertically tripod unless wrap around pole
5649,stand wrap around things hold camera walking around taking videos it’s great works nikon iphone
5650,el producto cumple lo que promete se puede ubicar en cualquier sitio siempre cuando se ajuste correctamente una vez que lo deformas se complica hacer totalmente rectas las patas pero pueden moldearse de forma que quieras
5651,worked great nikon stable placed stairs take time delay photo downside cannot pivot head attempted use selfie stick phone
5652,received days ago know get good use seems well made sturdy
5653,gustó muy útil para varias posiciones aguanta perfecto una réflex
5654,great product hang virtually anything use tripod
5655,loved part holds phone cracked broke tried fixing gorilla glue broke buy
5656,fits well canon t6 steady phone attachment soft lining protects screen importantly great price
5657,bought tripod phone attachment holds phone perfectly super secure tripod strong flexible hold phone surface
5658,excelente producto encantó muy resistente
5659,aguanta mucho el peso de la cámara
5660,tripod super flexible sturdy sure put various position
5661,es un gran producto el mejor que hecho hasta ahora espero en un futuro comprar la version de este tripie
5662,love love using whenever vlogging
5663,esta increíble pesa lo puedes llevar cualquier lado súper fácil de utilizar yo lo utilizo con mi cámara eos sin problema de peso
5664,super fast shipping needed getting low stabilized camera macro shots
5665,tres vite mais ya pas de manette
5666,great product
5667,tripod flexible tripod steady even legs set unusual positions adjustable smartphone mount great different sizes phone
5668,easy carry around
5669,like lot sturdy stable well made
5670,sturdy recommend huge cameras check specs dslrs fit antislip rubber casing works well
5671,perfect tripod everyday use good vlogging btw car enthusiast follow ig youtube grimm gen post car content 😁
5672,el producto llegó en tiempo se un excelente material diseño hasta el momento lo usado poco pero parece muy práctico para cualquier ocasión
5673,verygood like
5674,buen producto sólido fácil de usar
5675,love super sturdy rubber makes easy wrap around bed pole good steady bed footage lol
5676,money worth comfort
5677,love helped made videos channel
5678,encantó un agarre muy versátil justo lo que esperaba los va defraudar quedo perfectamente con mi canon t6 e incluso tiene otro adaptador para colocar tu celular
5679,great product
5680,el envio fue excelente ademas el trípode ufo basic se siente super firme buenos materiales duraderos 👌🏻altamente recomendado
5681,perfect product travelling
5682,funciona como debe ser
5683,tripod good amazing setting pictures trees wrap around things also good vlogging light easy traveling easy bend put back place stable recommend a6000
5684,ya sólo usarlo para ver su durabilidad pero parece ser fuerte versátil
5685,love
5686,muy buenos materiales funcionó perfecto con el estabilizador dji osmo mobile cumple todas las funciones
5687,work discribe
5688,excellent workmanship great product
5689,great kinds uses camera lighting sound high quality worth every cent
5690,remote shutter cheap product
5691,¡me encantó es súper útil flexible lo puedes llevar todos lados el tamaño es perfecto
5692,advertised arrived time
5693,best mini tripod ever
5694,works great tripod wrapped around tree
5695,product great price lasted month daily use broke places
5696,none
5697,stars
5698,good product
5699,great product travekking used gopro hero
5700,love looks feel fits great sony camera
5701,gracias está súper padre el producto
5702,used make vlogs didn’t disappoint
5703,pictured fast delivery
5704,buena relación entra calidad preciolos brazos son fuertes
5705,great value versatile
5706,es muy durable materiales de calidad
5707,sturdy versatile exactly needed
5708,love strong easy use
5709,il est léger et je peux l utiliser de plusieurs formes
5710,muy resistente útil
5711,tripod great however remote missing
5712,fait le travail compact
5713,gusti mucho muy practico
5714,used eveything
5715,great price sturdy
5716,x
5717,better gorilla pod
5718,great quality strong light weight
5719,loving tripod
5720,hold camera well phone love
5721,cool tool
5722,super functional well built
5723,good quality
5724,es muy fácil de usar
5725,jewellery photography
5726,good quality
5727,actually loving
5728,nice
5729,vlogging
5730,like
5731,works dslr mobile
5732,utilisé avec caméra gopro parfait
5733,good quality
5734,received tripod today quite satisfied plastic quality nice phone mount nice legs sturdy flexible perfect beginners going many products like adofy went glad big cameras could concern entry level mirror less cameras good
5735,read comments expecting much sturdy dropped camera twice even point needed repair wish legs bit longer stronger wouldn’t purchase
5736,value money product good grip product feels looks like it’s quality product
5737,costs worth hand looks cool got great quality legs finds move ease looks strong would totally recommend smart phone mount great help quality one seems support dslr well canon 1300d goes well kit lens camera mounted pod
5738,honestly telling guys best phone vloggers worst camera vloggers handle load camera use phone best tried camera sliding shifting
5739,best quality gorrillapod one price within wide range options go withstand sony a7m3 good enough ✌️
5740,spending much rupees better increase budget little bit get much better gorillapod
5741,best combo gorilla pod pixi mini tripod superb beginners
5742,good product needed accessory every photographer comes handy
5743,good branding good qualityvalue moneyhave used less time though update fully used
5744,foreign language tutor looking good tripod review opinion ordered tripod n feel taken good decision planning get bigger one kind it’s available
5745,good alternative gorilla pod
5746,nice professional look flexible
5747,best
5748,okay point shoot cameras hold good dslr tried canon 550d lens even light setup could remain steady better joby gorilla pod
5749,worth buying fake varients much better telling seeing using well worth money
5750,loving
5751,best
5752,overpriced flexible better options available amazon
5753,nice product
5754,best class
5755,nice full flexible
5756,product good received broken one disappointed
5757,used even days leg got broken amazon raised hands kind help although really easy use pod durable even days expect product amazon
5758,loved product initially broke within months one leg came warranty product well
5759,first order came broken replaced item broken first use
5760,good product thing can’t phone portrait mode unless twist legs awkwardly sitting
5761,esta lejos de sustituir un trípode pero para viajar es una opción excelente ocupa poco espacio lo puedes acomodar de mil formas la parte negativa es que al ser pequeña en varias situaciones queda deber como trípode pero hace la chamba
5762,de verdad ha sacado de apuros en los que toca llegar grabar en espacios improvisados como calles en espacios interiores sobre mesas para grabar charlas muy recomendable
5763,works great
5764,es muy versátil muy económico
5765,pues gustó su calidad su resistencia 🥳🇲🇽🇲🇽🌹🤠
5766,great job legs sturdy super flexible grip bit fiddly works well easily accommodates iphone pro max room spare good value
5767,está medio equis
5768,better quality expected youre looking nice quality tripod less bonus works camera phones
5769,avoid buy item save money get good brand better buying cheap one worth dollar unstable footage carrying tripod since first day uncomfortable sometimes slips honestly started use stand light rgb put onto desk
5770,perfect smartphone new canon mirrorless camera easy use comfortable hand happy thst bought
5771,lo recomiendo
5772,lo recomiendo
5773,nice described
5774,liked
5775,es muy práctico resistente llego al otro día de pedirlo
5776,size perfect fixation strong enough support phone securely even otterbox case protector
5777,good indoor outdoor shooting
5778,encanto porque el material es súper flexible aparte de calidad lo uso para ver mi teléfono súper comodo
5779,es bueno es la mejor calidad pero si es lo que muestra la fotografía para el precio está bien
5780,hard get legs position reliably support camera continue flex camera lens weight
5781,compre este trípode para un viaje fue de lo mejor en tamaño precio muy versatil para utilizar lo recomiendo mucho
5782,es un buen producto que cumple con su función por el precio que pagas creo que está bien pero creo que sería mucho mejor es una buena compra si piensas usarla para cosas simples pero si quieres algo más elaborado entonces si recomiendo buscar otra opción
5783,media could loaded excelente para viaje cabe en cualquier bolso es super versatil tengo un con un adaptador para idap que compré aparte funciona bastante bien los materiales son flexibles duraderos definitivamente recomendado 👌
5784,ya llevo usandolo en muchos lugares donde va el celular se acomoda fácil el mecanismo que se dobla delas tres patas muy fácil de acomodar cualquier espacio
5785,month garbage trust good 1month using month leg breaks durable waste money
5786,really good simple charger like others actually comes cord box plug charge pro max won’t fit case standing straight turn sideways still charge without case fits fine it’s metal sort metal definitely durable
5787,easy use great product sure
5788,move update wireless charger completely stopped working days initial use exchanging hopefully next one last bit longer although asked questions got response seller thought purchase one check one question asked whether charger supports qi epp extended power profile standard promulgated wireless power consortium fast 15w wireless charging standard primarily used google pixel sony xperia lg phones nothing equipment stand included adapter box documentation suggests supports qi epp asked pixel phones charger supports product description says supports 15w pixel lg phones nothing box suggest supports pixel lg phones however documentation picture included says supports google pixel 6a pro 5a 4a 4a 5g 4xl 3a 3axl 3xl cellphones support 15w charging new pixel caseology athlex case purchased product desk anker nano 30w gan charger travel following charging results thus far using charger included fast charging adapter pixel reports charging wirelessly predicting full charge charge ampere see attached photo reports charge rate 2200ma charge rate predicted full charge remain roughly landscape orientation swapping included fast charging adapter anker nano appear change charge rate comparison wired charging anker nano seemed slightly faster although ampere see attached photo reported charge rate 4070ma nearly double wireless rate charger pixel predicted full charge charging rapidly predicted improvement unit appears well designed lightweight sturdy problem holding pixel fact back short enough pixel camera bump interfere flat contact phone charger improvement wireless stand chargers used one vaunted benefits charger full aluminum body purportedly aids heat dissipation noticed using charger aluminum becomes warm touch seems functioning intended
5789,getting new cell phones months ago decided try wireless charging function bought two expensive sleek stylish wireless chargers well reviewed one bought wife works well enough mine flakey sometimes works sometimes usually end rebooting blame thing kicks thought would try one happy report happy fancy like previous charger indicator lights show level charge phone bells whistles useless gizmo work besides phone lets know far charging missing feature style charger function first foremost come several different colors like set phone upright lay horizontal best part thing quick blister far dependable fast update review changes could spend lot charger getting pure functionality little beauty right
5790,love color display look charger opposed laying table note ultra makes nervous small bump make fall stand wish bottom egde bit wider secure hold phone hangs love ease able set starts charging
5791,magnetic hold works well keep samsung galaxy s20 place feel like phone fall tapping alarm charger bit longer hold length phone would giving stars find fantastic usb wall charger included correct amperage fast charging key item missing unknown brands kudos including great deal
5792,deducted star originally bought s22 ultra set phone cradle cover without cover works great works great really ment larger phones cases
5793,use wireless charger two extra places charging apple airpods apple watch looking charger accommodate phone charge without extras son two items bit challenging excited find charger actually better expected sturdy simple design look sleek cool also performs well like put stand horizontally vertically charges either way horizontal presentation allows viewing movies comes everything needed including often left adapter plugs wall definitely great find ps charges well case
5794,charger job able hold large phone like samsung galaxy note s20 plus protective case using supplied wall adapter able quick charge even phone case able fully charge phone hours par samsung quick wireless chargers love slim metal look quality feels solid cooling fan like samsung wireless chargers metal frame acts like giant heat sink stays fairly cool touch able charge phone either vertical horizontal nice want watch videos charges happy wireless charger
5795,wireless charging stand deceptive — looks bare bones really well designed compact package iphone pro max plus pelican magsafe case fits securely either portrait landscape orientation easily positioned pair charging coil positioning prongs rubberized worries scratching phone case following minimalist design charge indicator lights phone display want use nightstand charger light small footprint moving parts easy find space tuck bag traveling completing package ac adapter usb c cable included simple yet elegant device job well
