,Reviews
4905,"
Perfect in any situation holds my dslr canon 60D and the clip holds bloggie touch and I phone. Great value
"
4906,"
Exactly what I was looking for! Works perfect for my iPhone and my large DSLR. The legs are super moldable but sturdy. I love it!
"
4907,"
I love this product! Flexible, Sturdy and can be used with DSLR and iPhone camera! Love love love
"
4908,"
Love it !! Use it for work outs or for work when i need to make how to videos .
"
4909,"
I love it soo much. I'm using it for my iPhone and my DSLR canon camera.
"
4910,"
Love it! Works great even with a heavier camera.
"
4911,"
Great tripod, flexible. Grips things well.
"
4912,"
OK, so to begin with, I did like this tripod, it is flexible and easy to set up, although I was disappointed that you can't swivel the top where you put your phone in. But anyway, the phone connector snapped up with very little pressure, I now can't use it...Having looked since, the plastic at the top is very cheap, I wouldn't recommend.
"
4913,"
The experience thus far in using this most efficient tool- how the heck did I previously get by without it?!
"
4914,"
Great for bloggers my YouTube is Life of Dionne
"
4915,"
Works as advertised
"
4916,"
very strong! I like it!
"
4917,"
Works great
"
4918,"
Versatile and lightweight perfect for my planned usage.
"
4919,"
Love this handheld tripod! So glad I bought it!
"
4920,"
I’m loving my tripod. It’s really easy to use. I use it to record my workouts and it’s so versatile!!!
"
4921,"
Amazing it's just works. It's a great stabilizer and works with camera apps that take low light photos for me.
"
4922,"
The tripod is very strong and easy to use.It fits my camera and cell phone.
"
4923,"
I bought this thing a little over a month ago, I was being cheap not trying to buy a gorillapod because of the price, I was using it for my camera, mind you my cameras not heavy, one of the legs ended up breaking on me today while shooting, it was mostly kept in my gear bag I wasn’t abusing it or anything, I feel like it would’ve lasted longer had I used it specifically for my phone... possibly
"
4924,"
Very flexible, grippy, holds its position.
"
4925,"
Love it.
"
4926,"
speedy delivery and it looks exactly as advertized. I cannot wait to start vlogging
"
4927,"
Absolutely PERFECT for my Canon SL2. Probably the best budget Tripp’s I’ve ever had.
"
4928,"
Amazing video and pictures quality:
"
4929,"
Súper bien
"
4930,"
This tripod is EVERYTHING! Do not pass it up. PURE QUALITY! I love it...
"
4931,"
exactly as described. perfect for my sony a5000
"
4932,"
Unfortunately this item broke within a week day of having it, we wanted it for our son to make home videos with on an old phone but the phone attachment was easily cracked when our youngest hit it on something.
"
4933,"
Loved this tripod!!! It’s very sturdy
"
4934,"
I use this every day! It's a perfect little tripod for vlogging cameras or phones.
"
4935,"
I use this to vlog with and it’s perfect!!
"
4936,"
My granddaughter loves it
"
4937,"
The way it bends a grips is exactly what I need. Great for my iPhones video or my GoPro's.
"
4938,"
I bought this for my son and he loves using it to take video in the outdoors.
"
4939,"
Works just like I thought it would. Perfect for cell phone video. Great product for the price
"
4940,"
I really love this tripod! The flexible legs are so awesome! Great value for the money!!
"
4941,"
Best tripod ever,very sturdy and, comfortable grip.
"
4942,"
This does exactly what a tri-pod with flexible legs should do.
"
4943,"
Amazing product
"
4944,"
So far so good, comes with a phone mount as well. I’ll update anything changes
"
4945,"
Cute and sturdy
"
4946,"
I used this on my trip to Tokyo. Smarthest gadget I could’ve taken there.
"
4947,"
I used my M50 camera which is a pretty light weight camera. I've had it for a little over 2 weeks and one leg already broke. But overall I loved how light weight it was and easy to carry around.
"
4948,"
The tripod itself has a good grip however the holding mount for The phone was terrible lasted me for a couple hours then broke
"
4949,"
finally i found a great tripod that works very well and i can use for travel
"
4950,"
We love it. Fits our camera and was made with good quality.
"
4951,"
Just used it brand new for 30min. And I’m already satisfied for what it is at this price point. Definitely and help for tool for amateur to progressing film and picture taking stuff. Will update in 3months!. (UPDATE), I’m actually disappointed with how fast my tripod broke down, after 4 weeks, I noticed a significant weak joint that move your device forward/backwards. It has become practically useless🙁
"
4952,"
Found this to be a pretty useful tool until it broke at the leg. Yes joby gorillapods can eventually loosen up but this one snapped entirely.
"
4953,"
Works pretty much as a flexible tripod should. No problems or complaints considering price.
"
4954,"
Wish it was I bit longer but great tool
"
4955,"
I don’t have any problems with that. Like it a lot
"
4956,"
Works great. Sturdy
"
4957,"
Easy to use, durable
"
4958,"
Love that I can get those hard-to-get shots!
"
4959,"
No real issues with it, it works well
"
4960,"
Very light weight and flexible.  durable plastic, great for iphones
"
4961,"
Love it!
"
4962,"
💜
"
4963,"
It’s cost effective, works as it should. What more can you ask for?
"
4964,"
Works well. No complaints.
"
4965,"
simple, convenient and easy to use and store
"
4966,"
Muy bueno
"
4967,"
Love it. Great for beginners
"
4968,"
Does the job.
"
4969,"
This has become a must have item in my backpack!
"
4970,"
Good quality
"
4971,"
It has worked great on our recent trip. Good product.
"
4972,"
Love it
"
4973,"
This little tripod was amazing at first. I used it to take photos at my pole fitness business, as it can wrap around a pole easily!However, just a few months later, 2 of the 3 legs are now hanging limp, despite nothing detrimental ever happening to it, and the entire device is useless. It can not support itself with 1 leg. I tried to fix it and you cannot without ruining the device entirely so I didn't. I read there was a warranty, but contacting both the company and Amazon has lead nowhere so far. I get no reply.
"
4974,"




                    The media could not be loaded.
                



 I was excited about this holder but disappointed to see this strange toxic looking powder that comes off the rubber everytime you touch it. See the video. I even tried cleaning this down thoroughly with a wet wipe but after it dried the same residue appeared again. There is a disturbing quality control issue going on here in China with this product.
"
4975,"
It is very flexible & convenient!
"
4976,"
Professional, well made, strong, versatile!
"
4977,"
I like handle and size of tripod for Sony A6000 Camera
"
4978,"
Holds my canon 80D perfectly
"
4979,"
Very good design and is ok in quality
"
4980,"
Does what it promises.
"
4981,"
Exactly what I wanted.
"
4982,"
Love my UFO Basic, nice durable and I love it.
"
4983,"
This is perfect item! Durable, the right size..
"
4984,"
Excellent
"
4985,"
This is a really solid product. Does the job perfectly.
"
4986,"
Bought this item for use specifically during a family vacation.  One of the legs snapped on day 5, making it no longer bendable and essentially rendering this device useless.  I may have bent it a total of 10 times to take various pictures requiring the use of this tripod prior to it breaking.  Obviously, the quality of this device leaves a lot to be desired.  Also, $20 to take 10 pictures isn't what I would consider a great value for the money.  Look elsewhere.
"
4987,"
I bought this because I thought it was 17.9 inches in length, as advertised in the product description. It's not, it's 10.5 inches in length at best. When you add the attachment piece on top, add another inch. See pics.
"
4988,"
Feels very durable!
"
4989,"
Excellent quality from this tripod. Full recommended.
"
4990,"
Alike a lot
"
4991,"
Small and convenient
"
4992,"
It's flexible and performs what I need.
"
4993,"
Great for cell phone or big camera!
"
4994,"
Works as expected. Good addition to my gear bag.
"
4995,"
good stuff
"
4996,"
Love this product
"
4997,"
I recommend definitely!
"
4998,"
Very versatile product
"
4999,"
Better than I expected and more!
"
5000,"
Absolutely Amazing!!
"
5001,"
I was happy with this product until today. One of the legs broke and my camera almost went cascading into a waterfall. Not a happy customer!! :( :( :(
"
5002,"
Works as advertised - very durable.
"
5003,"
Very nice
"
5004,"
Great vlog camera holder
"
5005,"
Great product
"
5006,"
More then happy with this product!
"
5007,"
awesome very sturdy well made cute
"
5008,"
Love this
"
5009,"
Excelente
"
5010,"
Really like this tripod
"
5011,"
Exactly as described
"
5012,"
Perfect
"
5013,"
I never leave reviews but this is wild.  I got a used and broken item.  Clearly opened box.  No quality control.  This looks like a kid put it together.
"
5014,"
Very useful, met expectations.
"
5015,"
I really like it
"
5016,"
I purchased this item because, as pictured on Amazon, it clips to a phone from the bottom.However, as the image attached shows, I was sent an item that clips over the phone.This tripod is more expensive than others, it does not come with a remote, and does not match what was being sold.
"
5017,"
Wow
"
5018,"
Good
"
5019,"
I must say the product is sturdy and the handle is just want I needed ...BUT the attachment is not what is shown in the picture! NOT GOOD<<<NOT GOOD! Why would you show a product and is it not what is shown! Dahhhhh . Not happy!
"
5020,"
I used this product a couple dozen times over the course of the last 4 months and one of the legs broke today making it non functional as a tripod. It was pretty good while it lasted but broke way too soon and for no logical reason.
"
5021,"
I received this item and when I pulled out from box and bag, a piece of the tripod was already broken. I have never used it and didn't get to return. I travel so much that it's now I'm writing a review and it's too late to return. Not the best quality.
"
5022,"
I had this tripod for 25 days and one of the bendy legs broke.  It is meant to be flexible but after bending too many times it just snapped.  25 days later, I am ordering another tripod.
"
5023,"
This product is crap. Very flimsy and the legs do not lock in place causing the tripod feature to defeat the purpose. The 1st time They delivered the product, the package was empty! Stay away
"
5024,"
This is a piece of junk.  The collar that joins the legs broke the second time I used it.
"
5025,"
Stiff
"
5026,"
It was standing and it feel and it just broke I was like wtf don’t buy please
"
5027,"
have used for only a few months and have two legs broken!!
"
5028,"
This product I received was terribly damaged.
"
5029,"
Break easy
"
5030,"
Easy to use and reliable
"
5031,"
Versatility sturdiness easy to use
"
5032,"
Great design, quality materials, and a great price and size!
"
5033,"
using it for my GoPro hero 9 best versatile tripod works for every setting from hanging on tree branches, on a rail for a boat it holds on pretty well
"
5034,"
My son bought this and he says it is ""way better than Gorilla Pod. The legs won't pop off at the joints. The phone holder is really nice.""He definitely likes it.
"
5035,"
This has been a great little tripod and very versatile. I use it with my iPhone, but also to hold LED lights when I am doing video conferencing. I like it and have recommended it to others.
"
5036,"
This works great with the attachment included for my phone and work great with my Camcorder
"
5037,"
I received this product fast and in perfect shape. Great little tripod. I created my first YouTube video with this tripod. It fits both smartphone and camera which is what I was looking for.
"
5038,"
Decent quality for the price. We only use it for our phones, so haven't seen how well it works with a full sized heavy camera. We like that it fits both our phones that are a bit larger with cases on them. (Google Pixel 2 and Samsung Galaxy 8 Edge). The clamp for the phone is not springloaded, but manually adjusted, so just make sure you phone is SECURELY CLAMPED before you prop your tripod.  (It has loosened with more use and is not as strongly clamped, but we only use it at home anyways.)  And the clamp can be screwed on two ways as shown in the picture.  The rubber grips are very fleible and grab on to odd hanging positions quite well.
"
5039,"
This is literally the best camera tripod i have ever bought I recently bought this for the GoPro Hero 5 and let me just tell this tripod works perfectly for vlogging, it’s so flexible you can mount it practically anywhere, and it’s so durable and water proof this product is amazing ⭐️⭐️⭐️⭐️⭐️.
"
5040,"
I absolutely love this tripod, I had one years ago and my dog chewed it up, but this one is much better made. I have been able to get some great photos with the flexability of this tripod. Would recommend to anyone.
"
5041,"
I was excited about this but it broke after of weeks of indoor use.
"
5042,"
I bought this to hold a small speaker. After 3 uses once leg broke off. I kept using as 2 let’s still function when gripping around something. After 2 more uses the 2nd leg broke and now this is no longer usable. Very cheaply made at the joint as it is all then plastic construction. I’m sure it’s fine if you just want a small tripod but if you plan on bending the legs around things to hold a camera or speaker this is not a good unit for you.
"
5043,"
I love this little tripod. I've used it several times, primarily for long exposure photography. It is easy to manipulate the bendy legs, and it is reliably steady when used on my mirrorless with wide angle lens. When shooting, I recommend a short shutter delay to avoid shake.My favorite feature is the light weight construction. I attach the camera, swing my strap behind my right arm and set out. The slight extra weight is unnoticeable, and I leave it on even when shooting hand held.But you can easily slip one leg in a pocket or strap to a small bag with ease.Always verify weight limitations when buying a tripod being sure to choose one with specs exceeding the weight of your camera and heaviest lens combination.I recommend this product for mirrorless cameras or cell phones.
"
5044,"
Im a small youtuber and I was looking to have something to carry my camera around to vlog with. This product is working out great for me. I feel it will last a long time. I love it.
"
5045,"
*****
"
5046,"
Sturdy and comes with holder attachment for phone.
"
5047,"
Very handy and versatile tripod! Will order again as a gift because I want my family and friends to have this
"
5048,"




                    The media could not be loaded.
                



 There’s a great grip, the sturdiness makes it easy to hold and control everything without worrying. It’s super easy to Bend and move the legs around. This product is such high quality for its price. Instead of buying a jobi I’d recommend this 10/10
"
5049,"
I like this for taking shot with my phone that I want to be a part of. Set up the shot, trip the timer, and get in front of the camera. Quite stable and easy to use.
"
5050,"
I'm pickey when it comes to camera gear. This thing is perfect for my phone, GoPro and Sony a6000. Feels like a cable, perfect blend of weight and sturdyness. I use it also to film kids at the skatepark. Its a great piece of equipment to have.
"
5051,"
I like this tripod for its versatility. Will use often.
"
5052,"
This is great for vlogging! It is really sturdy and you can bend it anyway you want
"
5053,"
Very pleased with the quality of this. The top hinge of the legs snaps in and out, and the legs are very bendable. feels like beefy construction that won't wear out any time soon. I'm also not worried about using this outside and getting the material scratched or dirty, since it isn't delicate. Very good value for the money.
"
5054,"
Bought this as a gift for my nephew who is a videographer.  He's rather rough and abusive on his equipment.  It has lasted over 2 years now. So, it's nephew approved.
"
5055,"
perfect tripod
"
5056,"
Love using this hold the camera for videos or to set up a tripod.
"
5057,"
Works on anything your trying to film from
"
5058,"
Flexible, small and sturdy. Good for travel.
"
5059,"
AMAZING FOR CANON M50 ... JUST BUY IT YOU WONT REGRET IT
"
5060,"
Highly recommend
"
5061,"
Works as advertised, lightweight great for the trails
"
5062,"
This is my second one. I used the hell out of the other one
"
5063,"
A must have for vlogs!
"
5064,"
It's sturdy and versatile. I use it for my sony camera and my phones.
"
5065,"
Works really great! I was surprised to see how well it could hold up my DSLR camera, works well as a tripod too or handheld. Very satisfied with my purchase.
"
5066,"
Purchased this item for vlogging! It’s very easy to use! I love the versatility and sturdiness. Can’t wait to start my vlogs
"
5067,"
Noticed right away that last year’s model I bought is a pinch taller. That said, this design is so much more reliable and sturdy than joby, for the legs. These legs can be bent a million times and retain 100% of their dexterity, whereas Joby units’ integrity are entirely dependent on all those plastic ball joints. I ordered this 2nd one for my phone so I can leave my GoPro on the old one 24/7.
"
5068,"
Got this for my son when he goes snowboarding. He loves it!
"
5069,"
This tripod is amazing, lightweight and stable, the legs are strong.
"
5070,"
Got this to help with videos and pictures and I love it. You can place it anywhere and have it stay!
"
5071,"
My daughter loves it!! She use it for her YouTube channel🤩
"
5072,"
Perfect
"
5073,"
You can literally put this tripod anywhere
"
5074,"
It's worth recommending
"
5075,"
It works good with my mini projector.  Its sturdy and can be molded to hook to anything.  It also has a c clamp mount for cellphones which is awesome.
"
5076,"
Es muy estable
"
5077,"
The best tripod is the one you always carry with you, and on that principle I think these may be the best travel tripods. They are not full height by any means, but they weight close to nothing and can fit in any bag. They also grab on to any rail, branches, poles that I can find in the vicinity. This fotopro holds up my mirrorless (EM1) with zoom lens no problem, all I had to do was to get a better tripod head and I have a versatile travel tripod that's good for long exposure or selfies when I travel.
"
5078,"
I love this product! It is so versatile and perfect for adjusting and getting a level platform for my phone. I hike and fish a lot and it is always hard to find a level spot on the ground. This product has completely solved that issue. It's also great because it can grasp onto things like railings and tree branches, so finding the right angle is a lot easier. Great product!
"
5079,"
Nice, sturdy, lightweight and very flexible. The legs are long enough to give good support for larger heavier smartphones.  Love the tripod. The phone adapator is a bit on the flimsy side. Plastic knurled knob stripped right away.  I upgraded the phone adaptor to one that swiveled and am very happy now
"
5080,"
Very strong and powerful. Able to carry my large camera and helps with travel photos
"
5081,"
This thing is great. Bought it for the bath cause it's waterproof and it wraps around the handle on my soap holder very well. Keeps me from looking down at my mobile but up instead.
"
5082,"
This tripod is perfect. Its strong and easy to use.My wife uses it for blogging and loves it!
"
5083,"
Cumple con lo prometido. La calidad es aceptable para el precio incluso ligeramente superior a lo esperado.Tengo una Cámara Sony alpha y una Canon Rebel y el tripie las soporta perfectamente.Su peso es mínimo y eso es una ventaja para llevarlo de viaje.El adaptador para colocar el celular no es de lo mejor cumple su cometido, sin embargo la parte de plástico que está en contacto con la pantalla no tiene protección (material suave) por lo tanto hay que tener cuidado.
"
5084,"
the more you use it the more it looses stability. Nice for a GoPro/osmo action but not that good with a camera.
"
5085,"
Works as advertised.  Only small problem is that if you have a case that is on the ticket side (as in Otter Box) it might now be held as solidly in the phone holder as you would want.  Workaround is to take it out of the case or simply live with it. ;)
"
5086,"
Totally solid, flexible and strong. I use it for an Anker mini projector which is pretty heavy and have no issues
"
5087,"
This tripod is great quality. It has only a few parts which is great the cell phone holder can be adjusted for portrait or landscape super easily. It’s easy to maneuver the legs where you want to attach them. They bend easily without too much effort. This is the tripod you take every where.
"
5088,"
Ha sido muy útil, tenemos más de un año usándolo. Para los tiempos de pandemia y cuarentena ha sido muy útil para hacer videollamdas desde el celular. Para fotos en el exterior es muy práctico por su versatilidad y ligereza (lo llevamos a todos lados).Lo hemos probado con el celular (aunque no nos encanta la manera en que se sujeta porque hace presión sobre la pantalla del teléfono, le damos un 4/5).Para la Go Pro es perfecta! No o hemos probado con cámara pesada de lentes aún.
"
5089,"
Bought this because I needed a selfie stick but went with this for the flexibility so that I can not only hold up camera but place it on awkward surfaces for shooting. It holds my Canon Rebel t3i fairly well. The tripod is PERFECT for cell phones as its light and durable
"
5090,"
La calidad del trípode es bastante buena, me gustó la textura de los materiales y la resistencia que tiene al soportar mi sony a6300.Lo super recomiendo
"
5091,"
Es muy flexible, se adapta a cualquier superficie, además de ser ligero.Cuando grabo caminando se nota el movimiento, con este tripie los brincos desaparecen.Me gustó demasiado
"
5092,"
I purchased this as a tripod for taking timed photos on my Sony Nex-6 and streaming video to twitch.It also has a handy bracket for holding a smartphone. The legs are sturdy and hold their position really well.Very happy with this product.
"
5093,"
Buen producto, fácil de instalar aunque un poco débil en el soporte de celular podría ser un poco más fuerte aunque sirve prefecto.Esta más bajo de lo que pensé
"
5094,"
I had this on my recent trip and it was great to have something that could easily attach to any post, rocky uneven surface, even hold outside the car while driving.
"
5095,"
Excelente lo tengo por 5 meses ya y muy buenoNo se ve frágil ni parece que se romperá fácilSe enrolla fácilmente en cualquier superficie, árbol, poste etc
"
5096,"
It works pretty good but not as steady as something with solid legs so attention needs yo be paid when using it.
"
5097,"
En la descripción del producto incluye un adaptador para go pro y además un adaptador para tomas verticales, sin embargo no venían en la caja, no se como pueda proceder una aclaración.
"
5098,"
Used this product as advertised and it has held up to the test with my Samsung S9 so far in multiple circumstances and positions.  Have not tried this with my camera as it will primarily be for the smart phone.
"
5099,"
Was exactly what I was looking for. Seems well made ,and does what I was hoping it would. Basically just hold the camera securely, and place it almost anywhere you want for the angle you want. It’s perfect for me.
"
5100,"
Excelente calidad. Muy resistente, le agregaría el adaptador para gopro. Lo compré en oferta muy buen precio por la calidad.
"
5101,"
Es muy buena idea para cuando sales de acampada o excursiones, el no le pongo más puntos por la calidad del cabezal que es algo fragíl
"
5102,"
Nice and sturdy with tight legs that stay where you put them.Good purchase.
"
5103,"
A little flimsy in places, but overall, excellent. The bendy legs are superb.
"
5104,"
It’s a nice tripod, the legs are really soft and flexible. However the only down side is my phone can only be held horizontally, there’s no way for it to be standing vertically on the tripod unless you wrap it around a pole.
"
5105,"
You can stand it up, wrap it around things, hold the camera for walking around taking videos it’s great. It works with my Nikon and my iPhone
"
5106,"
El producto cumple lo que promete, se puede ubicar en cualquier sitio siempre y cuando se ajuste correctamente. Una vez que lo deformas se complica hacer totalmente rectas las patas pero pueden moldearse de ma forma que quieras.
"
5107,"
Worked great with my Nikon 5200. Stable while placed on the stairs to take a time delay photo. Downside cannot pivot the head while attempted to use a selfie stick with phone.
"
5108,"
I received this a few days ago and I know I will get good use out of it.  It seems to be well made and is sturdy.
"
5109,"
Me gustó, muy útil para varias posiciones y aguanta perfecto una réflex
"
5110,"
Great product. Can hang it on virtually anything or use it as a tripod
"
5111,"
I loved it...until the part that holds your phone cracked...and broke. Tried fixing with gorilla glue but broke again! Will not buy again
"
5112,"
It fits well with my Canon T6 and steady. The phone attachment has a soft lining which protects the screen. AND most importantly great price!
"
5113,"
I bought this tripod for my phone and the attachment holds my phone perfectly and it's super secure, the tripod itself is strong and flexible and can hold up my phone up on any surface.
"
5114,"
Excelente producto, me encantó y muy resistente.
"
5115,"
No aguanta mucho el peso de la cámara
"
5116,"
The tripod is super flexible and very sturdy for sure to be put in various position.
"
5117,"
Es un gran producto el mejor que he hecho hasta ahora, espero en un futuro comprar la version 2 de este tripie
"
5118,"
Love it, I 've had it for a while. love using it whenever I'm vlogging
"
5119,"
Esta increíble, no pesa y lo puedes llevar a cualquier lado! Súper fácil de utilizar. Yo lo utilizo con mi cámara Eos sin problema de peso.
"
5120,"
Super fast shipping, and just what I needed getting low and stabilized camera for some macro shots.
"
5121,"
Tres vite mais ya pas de manette
"
5122,"
Great product
"
5123,"
This tripod is very flexible.  The tripod is steady even when the legs are set to unusual positions. The adjustable smartphone mount is great for different sizes of phone.
"
5124,"
Easy to carry around.
"
5125,"
I like it a lot. Sturdy, stable and well made.
"
5126,"
Very sturdy, but wouldn't recommend for huge cameras (check the specs before). Most DSLRs fit, and the antislip rubber casing works well!
"
5127,"
Perfect tripod for everyday use! Good for vlogging! BTW if you are a car enthusiast follow me on IG and Youtube @grimm_gen, I post car content!😁
"
5128,"
El producto llegó en tiempo y se ve un excelente material y diseño, hasta el momento lo he usado poco pero parece muy práctico para cualquier ocasión.
"
5129,"
Verygood i like it
"
5130,"
Buen producto, sólido y fácil de usar
"
5131,"
Love it! Super sturdy and the rubber makes it easy to wrap around the bed pole for some good steady bed footage lol
"
5132,"
Money's worth in comfort
"
5133,"
Love it it helped me made my videos for my channel
"
5134,"
Me encantó, un agarre muy versátil, justo lo que esperaba, no los va a defraudar, quedo perfectamente con mi canon t6 e incluso tiene otro adaptador para colocar tu celular.
"
5135,"
great product
"
5136,"
El envio fue Excelente ademas el trípode Ufo Basic se siente super firme, buenos materiales y duraderos 👌🏻Altamente recomendado
"
5137,"
Perfect product for travelling!
"
5138,"
Funciona como debe ser
"
5139,"
This tripod is so good, amazing for setting up pictures in trees, and can wrap around things, also good for vlogging. Light and easy for traveling. Easy to bend and put back into place, very stable. 100% recommend for A6000
"
5140,"
Ya sólo usarlo para ver su durabilidad pero parece ser fuerte y versátil.
"
5141,"
Love it
"
5142,"
Muy buenos materiales, funcionó perfecto con el estabilizador DJI osmo mobile 2, cumple todas las funciones
"
5143,"
Work as discribe.
"
5144,"
Excellent Workmanship. Great Product.
"
5145,"
Great for all kinds of uses: camera, lighting, sound.  High quality.  Worth every cent.
"
5146,"
No remote shutter - Cheap product
"
5147,"
¡Me encantó! Es súper útil, flexible y lo puedes llevar a todos lados. El tamaño es perfecto.
"
5148,"
As advertised and arrived on time...
"
5149,"
THE BEST MINI TRIPOD I HAVE EVER OWN.
"
5150,"
Works great, as a tripod, and wrapped around a tree.
"
5151,"
this product was great for the price but only lasted me a month of daily use then broke in 2 places.
"
5152,"
None
"
5153,"
All the stars
"
5154,"
Good product
"
5155,"
Great product for travekking.  Used with GoPro Hero 7
"
5156,"
Love the looks and feel of it. Fits great on my Sony camera.
"
5157,"
Gracias , está súper padre el producto
"
5158,"
Used it to make vlogs. Didn’t disappoint.
"
5159,"
Just as pictured. Fast delivery
"
5160,"
Buena relación entra calidad y precioLos brazos son fuertes.
"
5161,"
Great value very versatile.
"
5162,"
Es muy durable! Materiales de calidad
"
5163,"
Very sturdy and versatile. Exactly what I needed!
"
5164,"
Love it. Strong, easy to use.
"
5165,"
Il est léger et je peux  l'utiliser  de plusieurs  formes
"
5166,"
Muy resistente y útil
"
5167,"
Tripod is great, however, the remote is missing...
"
5168,"
Fait le travail, compact!
"
5169,"
Me gusti mucho y muy practico
"
5170,"
used for eveything
"
5171,"
Great price. Very sturdy
"
5172,"
X
"
5173,"
Better than gorilla pod
"
5174,"
Great quality, strong but light weight
"
5175,"
Loving the tripod.
"
5176,"
Hold camera very well and phone.  Love it
"
5177,"
Cool tool
"
5178,"
super functional & well built
"
5179,"
Good quality
"
5180,"
Es muy fácil de usar
"
5181,"
For jewellery photography
"
5182,"
Very good quality.
"
5183,"
I actually loving it
"
5184,"
Nice
"
5185,"
vlogging
"
5186,"
like it
"
5187,"
Works with DSLR and mobile
"
5188,"
Utilisé avec caméra GoPro. Parfait.
"
5189,"
Good quality
"
5190,"
I received this tripod today only, and i am quite satisfied with it, plastic quality is nice, phone mount is nice, legs are sturdy and flexible, perfect for beginners, after going through so many products, like adofy and other, i went for this . And i am glad i did.  Big cameras could be a concern but entry level or mirror less cameras are good.
"
5191,"
When I read the comments I was expecting the to be much more sturdy than it was. It has dropped my camera twice and once even to the point it needed repair. I wish the legs were a bit longer and stronger. I wouldn’t purchase this again.
"
5192,"
Value for money product. It has a good grip and product feels and looks like it’s a quality product.
"
5193,"
It costs 1100 but it's worth that. In hand it looks very cool and has got a great quality. The legs finds to move with ease and looks strong. I would totally recommend this.Having a smart phone mount is a great help and it's a quality one. It seems to support DSLR as well, as I own a canon 1300d  and it goes well with the kit lens and camera mounted on the pod.
"
5194,"
Honestly telling guys!! Best for the phone vloggers and worst for the camera vloggers it just can't handle load of camera!! I use it with me phone so it's best for me but when I tried on camera it was just sliding and shifting here and there!
"
5195,"
This is best quality GorrillaPod one can have at this price and within a wide range of options !Just go for it . It withstand my Sony a7m3.So good enough ! ✌️
"
5196,"
If you are spending this much of rupees then Its better to increase your budget little bit more and get much better gorillapod
"
5197,"
Best combo of Gorilla pod and Pixi mini tripod. Superb for beginners
"
5198,"
Good product, a needed accessory for every photographer. It comes handy
"
5199,"
Good branding, Good qualityValue for moneyHave used it for less time though.Will update once fully used
"
5200,"
I am a foreign language tutor I was looking for a good tripod, After a review opinion, I ordered this tripod n I feel I have taken a good decision.Planning to get a bigger one of same kind of it’s available.
"
5201,"
A good alternative of gorilla pod
"
5202,"
Nice professional look more flexible
"
5203,"
Best
"
5204,"
Okay for point and shoot cameras. Does not hold good for dslr. Tried with canon 550d and 55-250 lens. Even with this light setup it could not remain steady. Better is the Joby Gorilla pod.
"
5205,"
It's was worth buying this over the other fake varients... Its much better.. Telling after seeing and using both.Its well worth your money
"
5206,"
Loving it
"
5207,"
Best
"
5208,"
Very overpriced and not that flexible. Better options are available on Amazon only.
"
5209,"
Nice product
"
5210,"
Best in class
"
5211,"
Nice full flexible
"
5212,"
Product is good but received a broken one disappointed.
"
5213,"
I haven't used it for even 15 days and a leg of it got broken. Amazon raised up there hands for any kind of help. Although it's really easy to use but if this pod is not durable for even 15 days, what more to expect from this product and amazon.
"
5214,"
I loved the product initially but it broke within 3 months.  One of its leg came off and there is no warranty to this product as well.
"
5215,"
First order came broken, replaced item is broken in first use.
"
5216,"
Good product only thing is you can’t have your phone in portrait mode unless you twist the legs all up and have it awkwardly sitting.
"
5217,"
It works great
"
5218,"
De verdad me ha sacado de apuros en los que toca llegar a grabar en espacios improvisados como calles o en espacios interiores sobre mesas para grabar charlas, muy recomendable
"
5219,"
It works great
"
5220,"
Es muy versátil y muy económico.
"
5221,"
Pues me gustó su calidad y su resistencia 🥳🇲🇽🇲🇽🌹🤠
"
5222,"
Does a great job. Legs are sturdy and super flexible. Grip is a bit fiddly but works well and easily accommodates iPhone 12 Pro Max with room to spare. Very good value.
"
5223,"
Está medio equis
"
5224,"
Better quality than expected! If youre looking for nice quality tripod for less this is it!! BONUS: works with camera and phones!
"
5225,"
Just avoid to buy  this item, Save your money and get a good brand better than buying this cheap one . It doesn't worth a dollar , unstable footage , i was carrying this tripod since  the first day and  i was uncomfortable  , sometimes it slips , honestly i started  to use it as stand light of my RGB when i put it onto the desk .
"
5226,"
Perfect for my smartphone and my new Canon mirrorless camera..Easy to use and comfortable in hand. Happy thst I bought it.
"
5227,"
lo recomiendo
"
5228,"
lo recomiendo
"
5229,"
It's very nice as described
"
5230,"
I liked
"
5231,"
Es muy práctico y resistente, me llego al otro día de pedirlo 10/10
"
5232,"
The size is perfect. The fixation is strong enough to support the phone securely even with the Otterbox case protector
"
5233,"
It is good for indoor and outdoor shooting
"
5234,"
Me encanto porque el material es súper flexible y aparte de calidad, lo uso para ver mi teléfono y súper comodo
"
5235,"
Es bueno, no es la mejor calidad pero si es lo que muestra la fotografía y para el precio está bien
"
5236,"
It's hard to get the legs into a position that will reliably support the camera. They will continue to flex if your camera + lens has any weight.
"
5237,"
Compre este trípode para un viaje y fue de lo mejor, en tamaño, precio y muy versatil para utilizar, lo recomiendo mucho!!!
"
5238,"
Es un buen producto que cumple con su función, por el precio que pagas creo que está bien pero creo que sería mucho mejor, es una buena compra si piensas usarla para cosas simples, pero si quieres algo más elaborado entonces si recomiendo buscar otra opción
"
5239,"
Ya llevo usandolo en muchos lugares, donde va el celular se acomoda fácil, y el mecanismo que se dobla delas tres patas muy fácil de acomodar a cualquier espacio
"
